Year,home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,Round,_home_team_norm,_away_team_norm,Home_Avg_Squad_Age,Away_Avg_Squad_Age,Home_Avg_Experience_Caps,Away_Avg_Experience_Caps,Home_FIFA_Rank,Away_FIFA_Rank,FIFA_Rank_Diff,Age_Diff,Exp_Diff
2018,Mexico,Sweden,0,1.4,,3,2.4,,Group stage,Mexico,Sweden,29.17,28.17,60.3,31.3,8.0,17.0,9.0,1.0,28.999999999999996
2018,Switzerland,Costa Rica,2,1.4,,2,1.5,,Group stage,Switzerland,Costa Rica,27.26,27.7,37.35,39.96,14.0,25.0,11.0,-0.4399999999999977,-2.6099999999999994
2018,Serbia,Brazil,0,0.8,,2,1.4,,Group stage,Serbia,Brazil,26.78,28.61,25.96,29.87,19.0,1.0,-18.0,-1.8299999999999983,-3.91
2018,Australia,Peru,0,0.9,,2,0.2,,Group stage,Australia,Peru,28.22,27.48,29.83,35.87,26.0,,,0.7399999999999984,-6.039999999999999
2018,Denmark,France,0,0.2,,0,0.4,,Group stage,Denmark,France,27.09,26.09,26.57,26.04,15.0,1.0,-14.0,1.0,0.5300000000000011
2018,Iceland,Croatia,1,2.1,,2,0.7,,Group stage,Iceland,Croatia,28.52,27.83,40.04,40.3,14.0,13.0,-1.0,0.6900000000000013,-0.259999999999998
2018,Nigeria,Argentina,1,1.4,,2,0.9,,Group stage,Nigeria,Argentina,26.04,29.52,25.61,37.35,23.0,6.0,-17.0,-3.4800000000000004,-11.740000000000002
2018,Saudi Arabia,Egypt,2,2.6,,1,0.8,,Group stage,Saudi Arabia,Egypt,26.43,28.96,48.17,37.3,28.0,,,-2.530000000000001,10.870000000000005
2018,Uruguay,Russia,3,2.4,,0,0.1,,Group stage,Uruguay,Russia,28.09,28.91,42.26,28.52,21.0,24.0,3.0,-0.8200000000000003,13.739999999999998
2018,Spain,Morocco,2,2.9,,2,1.2,,Group stage,Spain,Morocco,28.43,27.17,42.22,24.04,11.0,,,1.259999999999998,18.18
2018,IR Iran,Portugal,1,1.4,,1,1.3,,Group stage,Iran,Portugal,27.26,28.43,30.52,39.52,,6.0,,-1.1699999999999982,-9.000000000000004
2018,England,Panama,6,2.8,,1,1.1,,Group stage,England,Panama,26.09,28.83,20.96,58.48,8.0,,,-2.7399999999999984,-37.519999999999996
2018,Japan,Senegal,2,0.9,,2,1.4,,Group stage,Japan,Senegal,28.52,27.09,45.0,26.61,18.0,17.0,-1.0,1.4299999999999997,18.39
2018,Poland,Colombia,0,1.1,,3,2.1,,Group stage,Poland,Colombia,28.26,28.35,35.48,31.0,5.0,12.0,7.0,-0.08999999999999986,4.479999999999997
2018,Belgium,Tunisia,5,5.2,,2,1.1,,Group stage,Belgium,Tunisia,27.57,26.48,47.26,20.17,3.0,26.0,23.0,1.0899999999999999,27.089999999999996
2018,Korea Republic,Mexico,1,0.9,,2,1.9,,Group stage,South Korea,Mexico,27.13,29.17,42.09,60.3,,8.0,,-2.0400000000000027,-18.209999999999994
2018,Germany,Sweden,2,1.4,,1,0.9,,Group stage,Germany,Sweden,27.09,28.17,41.09,31.3,2.0,17.0,15.0,-1.0800000000000018,9.790000000000003
2018,Brazil,Costa Rica,2,2.6,,0,0.1,,Group stage,Brazil,Costa Rica,28.61,27.7,29.87,39.96,1.0,25.0,24.0,0.9100000000000001,-10.09
2018,Nigeria,Iceland,2,0.9,,0,1.3,,Group stage,Nigeria,Iceland,26.04,28.52,25.61,40.04,23.0,14.0,-9.0,-2.4800000000000004,-14.43
2018,Serbia,Switzerland,1,1.5,,2,2.1,,Group stage,Serbia,Switzerland,26.78,27.26,25.96,37.35,19.0,14.0,-5.0,-0.4800000000000004,-11.39
2018,Denmark,Australia,1,0.8,,1,1.3,,Group stage,Denmark,Australia,27.09,28.22,26.57,29.83,15.0,26.0,11.0,-1.129999999999999,-3.259999999999998
2018,France,Peru,1,2.0,,0,0.4,,Group stage,France,Peru,26.09,27.48,26.04,35.87,1.0,,,-1.3900000000000006,-9.829999999999998
2018,Argentina,Croatia,0,1.3,,3,1.9,,Group stage,Argentina,Croatia,29.52,27.83,37.35,40.3,6.0,13.0,7.0,1.6900000000000013,-2.9499999999999957
2018,Portugal,Morocco,1,1.2,,0,0.9,,Group stage,Portugal,Morocco,28.43,27.17,39.52,24.04,6.0,,,1.259999999999998,15.480000000000004
2018,Uruguay,Saudi Arabia,1,1.7,,0,0.3,,Group stage,Uruguay,Saudi Arabia,28.09,26.43,42.26,48.17,21.0,28.0,7.0,1.6600000000000001,-5.910000000000004
2018,IR Iran,Spain,0,0.7,,1,1.9,,Group stage,Iran,Spain,27.26,28.43,30.52,42.22,,11.0,,-1.1699999999999982,-11.7
2018,Colombia,Japan,1,1.0,,2,2.0,,Group stage,Colombia,Japan,28.35,28.52,31.0,45.0,12.0,18.0,6.0,-0.16999999999999815,-14.0
2018,Poland,Senegal,1,0.8,,2,1.0,,Group stage,Poland,Senegal,28.26,27.09,35.48,26.61,5.0,17.0,12.0,1.1700000000000017,8.869999999999997
2018,Russia,Egypt,3,1.2,,1,1.4,,Group stage,Russia,Egypt,28.91,28.96,28.52,37.3,24.0,,,-0.05000000000000071,-8.779999999999998
2018,Sweden,Korea Republic,1,2.3,,0,0.3,,Group stage,Sweden,South Korea,28.17,27.13,31.3,42.09,17.0,,,1.0400000000000027,-10.790000000000003
2018,Belgium,Panama,3,2.0,,0,0.5,,Group stage,Belgium,Panama,27.57,28.83,47.26,58.48,3.0,,,-1.259999999999998,-11.219999999999999
2018,Tunisia,England,1,1.0,,2,2.8,,Group stage,Tunisia,England,26.48,26.09,20.17,20.96,26.0,8.0,-18.0,0.39000000000000057,-0.7899999999999991
2018,Costa Rica,Serbia,0,0.9,,1,0.9,,Group stage,Costa Rica,Serbia,27.7,26.78,39.96,25.96,25.0,19.0,-6.0,0.9199999999999982,14.0
